"Top 50 values of username.keyword","Count of records"
root,"1,034"
admin,316
oracle,122
test,121
user,118
guest,74
ubnt,65
es,62
centos,58
postgres,54
ftpuser,53
www,52
app,51
default,51
esuser,51
git,50
hadoop,50
flask,49
gitlab,49
ftp,46
support,42
dolphinscheduler,40
mysql,40
tom,40
lighthouse,39
pi,39
dev,38
oscar,38
sonar,38
steam,38
tomcat,38
elastic,37
nginx,37
deploy,36
uftp,36
wang,36
ubuntu,31
blank,30
user1,30
nobody,28
ranger,27
apache,26
elasticsearch,26
elsearch,26
flink,26
worker,26
Admin,25
debian,25
developer,25
docker,25
